"","Id_Curso","Descripcion","n_curso","Hora","Ronda","weight","Id_Receptor","Id_Emisor"
"77",11,"Tercero basico",15,2017-08-29 17:29:31,11,10,317,319
"78",11,"Tercero basico",15,2017-08-29 17:29:31,4,10,317,325
"79",11,"Tercero basico",15,2017-08-29 17:29:31,15,10,317,326
"80",11,"Tercero basico",15,2017-08-29 17:29:31,19,2,317,329
"81",11,"Tercero basico",15,2017-08-29 17:29:31,18,0,317,330
"82",11,"Tercero basico",15,2017-08-29 17:29:31,9,0,317,333
"83",11,"Tercero basico",15,2017-08-29 17:29:31,2,1,317,336
"84",11,"Tercero basico",15,2017-08-29 17:29:31,6,6,317,337
"85",11,"Tercero basico",15,2017-08-29 17:29:31,4,2,318,312
"86",11,"Tercero basico",15,2017-08-29 17:29:31,5,3,318,313
"87",11,"Tercero basico",15,2017-08-29 17:29:31,14,4,318,314
"88",11,"Tercero basico",15,2017-08-29 17:29:31,16,5,318,315
"89",11,"Tercero basico",15,2017-08-29 17:29:31,6,10,318,316
"90",11,"Tercero basico",15,2017-08-29 17:29:31,12,10,318,317
"91",11,"Tercero basico",15,2017-08-29 17:29:31,3,10,318,319
"92",11,"Tercero basico",15,2017-08-29 17:29:31,15,10,318,325
"93",11,"Tercero basico",15,2017-08-29 17:29:31,7,10,318,326
"94",11,"Tercero basico",15,2017-08-29 17:29:31,11,10,318,329
"95",11,"Tercero basico",15,2017-08-29 17:29:31,10,10,318,330
"96",11,"Tercero basico",15,2017-08-29 17:29:31,1,0,318,333
"97",11,"Tercero basico",15,2017-08-29 17:29:31,13,0,318,336
"98",11,"Tercero basico",15,2017-08-29 17:29:31,17,3,318,337
"99",11,"Tercero basico",15,2017-08-29 17:29:31,2,2,319,312
"100",11,"Tercero basico",15,2017-08-29 17:29:31,4,3,319,313
"101",11,"Tercero basico",15,2017-08-29 17:29:31,13,5,319,314
"102",11,"Tercero basico",15,2017-08-29 17:29:31,15,5,319,315
"103",11,"Tercero basico",15,2017-08-29 17:29:31,5,10,319,316
"104",11,"Tercero basico",15,2017-08-29 17:29:31,11,6,319,317
"105",11,"Tercero basico",15,2017-08-29 17:29:31,3,3,319,318
